club_id,club_code,name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,last_season,filename,url,cl_year
31,fc-liverpool,Liverpool Football Club,GB1,,25,26.6,18,72.0,22,Anfield,61276,+â‚¬5.00m,Arend Martijn Slot,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/fc-liverpool/startseite/verein/31,202425
131,fc-barcelona,Futbol Club Barcelona,ES1,,26,25.0,8,30.8,14,OlÃ­mpic LluÃ­s Companys,55926,+â‚¬6.10m,Hans-Dieter Flick,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/fc-barcelona/startseite/verein/131,202425
11,fc-arsenal,Arsenal Football Club,GB1,,24,26.8,18,75.0,19,Emirates Stadium,60704,â‚¬-25.11m,Mikel Arteta Amatriain,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/fc-arsenal/startseite/verein/11,202425
46,inter-milan,Football Club Internazionale Milano S.p.A.,IT1,,25,29.4,18,72.0,18,Giuseppe Meazza,75923,â‚¬-75.91m,Simone Inzaghi,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/inter-mailand/startseite/verein/46,202425
13,atletico-madrid,Club AtlÃ©tico de Madrid S.A.D.,ES1,,23,29.3,16,69.6,16,Riyadh Air Metropolitano,70460,â‚¬-91.10m,Diego Pablo Simeone González,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/atletico-madrid/startseite/verein/13,202425
15,bayer-04-leverkusen,Bayer 04 Leverkusen FuÃŸball,L1,,26,26.8,20,76.9,16,BayArena,30210,â‚¬-21.85m,Erik ten Hag,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/bayer-04-leverkusen/startseite/verein/15,202425
1082,losc-lille,Lille Olympique Sporting Club,FR1,,26,27.3,18,69.2,12,Decathlon Arena-Stade Pierre-Mauroy,50186,+â‚¬39.00m,Bruno Génésio,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/losc-lille/startseite/verein/1082,202425
405,aston-villa,Aston Villa Football Club,GB1,,24,27.7,16,66.7,15,Villa Park,42918,+â‚¬42.97m,Unai Emery Etxegoien,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/aston-villa/startseite/verein/405,202425
800,atalanta-bergamo,Atalanta Bergamasca Calcio S.p.a.,IT1,,26,27.7,14,53.8,18,Gewiss Stadium,24950,+â‚¬11.45m,Gian Piero Gasperini,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/atalanta-bergamo/startseite/verein/800,202425
16,borussia-dortmund,Borussia Dortmund,L1,,28,25.2,14,50.0,18,SIGNAL IDUNA PARK,81365,â‚¬-30.60m,Niko Kovač,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/borussia-dortmund/startseite/verein/16,202425
418,real-madrid,Real Madrid Club de FÃºtbol,ES1,,24,27.0,17,70.8,19,Santiago BernabÃ©u,81044,â‚¬-33.00m,Xabier Alonso Olano,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/real-madrid/startseite/verein/418,202425
27,fc-bayern-munchen,FC Bayern MÃ¼nchen,L1,,26,27.7,15,57.7,17,Allianz Arena,75000,â‚¬-64.65m,Vincent Jean Mpoy Kompany,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/fc-bayern-munchen/startseite/verein/27,202425
5,ac-mailand,Associazione Calcio Milan,IT1,,26,26.3,20,76.9,14,Giuseppe Meazza,75923,â‚¬-70.90m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/ac-mailand/startseite/verein/5,202425
383,psv-eindhoven,Eindhovense Voetbalvereniging Philips Sport Vereniging,NL1,,27,25.9,14,51.9,12,Philips Stadion,35119,+-0,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/psv-eindhoven/startseite/verein/383,202425
583,fc-paris-saint-germain,Paris Saint-Germain Football Club,FR1,,24,23.8,15,62.5,17,Parc des Princes,48583,â‚¬-109.82m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/fc-paris-saint-germain/startseite/verein/583,202425
294,benfica-lissabon,Sport Lisboa e Benfica,PO1,,27,25.4,17,63.0,13,EstÃ¡dio da Luz,65592,+â‚¬86.32m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/benfica-lissabon/startseite/verein/294,202425
3911,stade-brest-29,Stade brestois 29,FR1,,27,26.9,11,40.7,5,Stade Francis-Le BlÃ©,15220,â‚¬-5.80m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/stade-brest-29/startseite/verein/3911,202425
162,as-monaco,Association sportive de Monaco Football Club,FR1,,26,24.4,26,100.0,12,Stade Louis-II,18525,â‚¬-41.25m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/as-monaco/startseite/verein/162,202425
234,feyenoord-rotterdam,Feyenoord Rotterdam,NL1,,33,24.4,21,63.6,13,""Stadion Feyenoord """"De Kuip"""""",47500,+â‚¬64.50m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/feyenoord-rotterdam/startseite/verein/234,202425
506,juventus-turin,Juventus Football Club,IT1,,27,25.5,20,74.1,19,Allianz Stadium,41507,â‚¬-87.40m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/juventus-turin/startseite/verein/506,202425
371,celtic-glasgow,The Celtic Football Club,SC1,,25,27.2,19,76.0,15,Celtic Park,60832,+â‚¬12.78m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/celtic-glasgow/startseite/verein/371,202425
281,manchester-city,Manchester City Football Club,GB1,,28,26.7,21,75.0,21,Etihad Stadium,55097,â‚¬-102.00m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/manchester-city/startseite/verein/281,202425
336,sporting-lissabon,Sporting Clube de Portugal,PO1,,26,24.5,13,50.0,14,EstÃ¡dio JosÃ© Alvalade,50095,â‚¬-17.54m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/sporting-lissabon/startseite/verein/336,202425
2282,fc-brugge,Club Brugge Koninklijke Voetbalvereniging,BE1,,26,24.4,16,61.5,11,Jan Breydelstadion,29062,+â‚¬40.60m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/fc-brugge/startseite/verein/2282,202425
